"Alle, rue de l'église",576.627,252.897,450
"Alle, zone industrielle",577.800,253.224,457
"Allenlüften, Dorf",587.305,199.466,638
"Allens, village",528.825,161.375,546
Allensbach,722.140,286.230,403
"Allenwinden, Dorf",684.680,224.320,709
"Allenwinden, Egg",684.520,224.900,709
"Allenwinden, Grüt",684.530,224.560,682
"Allenwinden, Inkenberg",684.200,225.570,709
"Allenwinden, St. Meinrad",684.890,223.810,709
"Allerheiligenberg, Höhenklinik",628.364,244.681,883
"Allerheiligenberg, Rank",628.662,243.795,865
"Allerheiligenberg, Rest. Aller",628.653,244.650,855
Allières,566.915,146.590,1006
Allmenalp,616.185,149.019,1732
Allmend,637.805,160.426,1509
Allmendhubel (Standseilbahn),634.537,157.050,1907
"Allmendingen b. B, Garten-C.",605.747,196.549,566
"Allmendingen b. B, Hirschen",606.202,196.136,585
"Allmendingen b. B, Käserei",606.498,195.978,566
"Allmendingen b.Thun,Wendeplatz",611.803,176.710,586
"Allmendingen bei Thun, Dorf",611.975,176.916,589
"Allmendingen bei Thun, RAZ",611.395,176.212,589
"Allschwil, Bettenacker",608.759,266.654,276
"Allschwil, Binningerstrasse",607.613,266.827,281
"Allschwil, Dorf",607.372,266.716,287
"Allschwil, Friedhof",607.457,267.024,279
"Allschwil, Gartenhof",607.911,266.469,283
"Allschwil, Gartenstrasse",607.952,266.874,287
"Allschwil, Grabenring",607.749,267.041,278
"Allschwil, Hagmattstrasse",607.958,267.223,278
"Allschwil, Im Brühl",608.149,267.396,277
"Allschwil, Kirche",608.683,267.035,280
"Allschwil, Kreuzstrasse",608.437,267.648,276
"Allschwil, Letten",608.153,266.389,283
"Allschwil, Lindenplatz",609.166,267.446,276
"Allschwil, Merkurstrasse",608.930,267.239,278
"Allschwil, Paradies",608.677,266.219,281
"Allschwil, Parkallee",608.890,266.909,277
"Allschwil, Reservoir",606.306,266.455,318
"Allschwil, Rosenberg",607.033,266.716,307
"Allschwil, Spitzwald",607.859,265.588,340
"Allschwil, Stegmühleweg",606.821,266.648,314
"Allschwil, Tramschlaufe",607.362,266.701,287
"Allschwil, Ziegelei",608.250,266.774,277
"Allschwil, Ziegelhof",605.537,265.747,340
"Allschwil, Zum Sporn",608.242,265.823,322
Almens,754.041,178.323,781
Alosen,690.950,221.800,879
Alp Camp,806.071,142.415,2061
Alp Dado (Bergstation),725.324,183.821,1856
Alp Dado (Talstation Fil),725.326,183.770,1852
Alp Darlux,779.286,166.365,2265
Alp Grüm,799.439,139.226,2091
Alp Languard,790.639,151.515,2326
Alp Nagens,737.002,190.937,1966
Alp Naraus,000.000,000.000,0
Alp Nouva,791.860,147.776,1880
Alp Pradaschier,758.941,183.440,1724
Alp Sellamatt,740.798,227.355,1395
Alp Stätz,759.865,181.410,1929
Alp Trider Sattel,822.814,206.281,2490
Alpboden,676.262,196.799,1233
"Alpe di Neggia, Alpe",708.762,107.548,1396
"Alpe di Neggia, Bv. Trecciura",709.034,108.578,988
Alpe Casaccia,705.821,155.906,1819
Alpe Foppa,712.460,108.290,1534
Alpiglen,643.159,161.137,1616
Alpnach Dorf,663.699,199.179,452
"Alpnach Dorf, untere Feldstr.",662.842,198.644,498
"Alpnach Dorf, Bahnhof",663.693,199.164,452
"Alpnach Dorf, Hofmättelikreuz",663.254,198.881,469
"Alpnach Dorf, Kantonalbank",663.347,199.067,462
"Alpnach Dorf, Schoried",662.212,198.371,554
Alpnachstad,663.879,200.781,436
Alpnachstad PB,663.829,200.831,436
Alpnachstad SGV,663.963,200.861,436
"Alpnachstad, Bahnhof",663.871,200.799,435
"Alpthal, Eigen",697.426,215.907,965
"Alpthal, Gribsch",697.490,215.458,969
"Alpthal, Grund",697.506,215.006,977
"Alpthal, Malosen",696.784,213.179,1019
"Alpthal, Post",697.000,214.100,999
"Alpthal, Rütli",696.886,213.485,1013
"Alpthal, Schnüerlismatt",697.267,214.472,995
"Alpthal, Stei",696.557,212.358,1050
Alt St. Johann (Sellamattbahn),740.202,228.587,894
"Alt St. Johann, Dorf",739.835,228.564,889
"Alt St. Johann, Horb",738.566,227.772,887
Altanca,695.357,153.312,1387
Altanca FPR,694.835,153.169,1386
Altavilla,578.236,198.002,537
"Altbüron, Feld",632.760,226.378,526
"Altbüron, Gruenbach",632.124,227.137,512
"Altbüron, Halde",633.175,225.934,535
"Altbüron, Hiltbrunnen",633.589,225.407,548
"Altbüron, Ludligen",632.024,227.896,529
"Altbüron, Post",633.437,225.655,541
Altdorf,690.937,192.315,447
"Altdorf SH, Dorf",691.540,293.385,520
"Altdorf UR, Allmend",690.590,193.120,439
"Altdorf UR, Bahnhof",690.950,192.350,447
"Altdorf UR, Chornmatt",690.870,192.909,447
"Altdorf UR, Dätwyler AG",692.089,192.508,460
"Altdorf UR, Frauenkloster",691.877,192.663,460
"Altdorf UR, Gemeindehaus",691.659,193.111,456
"Altdorf UR, Grossmatt",690.900,192.700,447
"Altdorf UR, Hagenschulhaus",691.479,192.762,455
"Altdorf UR, Kollegium",692.353,192.281,488
"Altdorf UR, Langmatt",691.208,192.541,445
"Altdorf UR, Moosbad",690.727,193.916,440
"Altdorf UR, Post",691.750,192.950,447
"Altdorf UR, Pro Familia",691.348,192.088,445
"Altdorf UR, Ringli",691.184,193.433,442
"Altdorf UR, Ruberst",691.200,191.275,450
"Altdorf UR, Spital",691.357,193.244,447
"Altdorf UR, Steinmattstrasse",691.300,191.750,450
"Altdorf UR, Telldenkmal",691.875,193.000,457
Altenburg-Rheinau,686.997,279.859,428
"Altenburg, Anwandel",687.485,279.289,407
"Altenburg, Dorf",687.170,279.190,389
"Altenburg, Dorfbrunnen",687.463,279.099,405
"Altenburg, Industriegebiet",687.105,279.614,421
"Altenburg, Rathaus",687.195,279.156,406
"Altenburg, Schule",687.245,279.006,404
Altendorf,704.896,227.927,412
Altendorf ZSG,705.621,228.043,412
